Symbol,Sector,Raw_Sector,Raw_Industry
ABSLAMC.NS,NBFC,Financial Services,Asset Management
ACE.NS,Infra,Industrials,Farm & Heavy Construction Machinery
AEGISLOG.NS,Energy,Energy,Oil & Gas Refining & Marketing
AETHER.NS,Chemicals,Basic Materials,Specialty Chemicals
AFFLE.NS,Media,Communication Services,Advertising Agencies
ALKYLAMINE.NS,Chemicals,Basic Materials,Specialty Chemicals
ALLCARGO.NS,Logistics,Industrials,Integrated Freight & Logistics
ALOKINDS.NS,Textiles,Consumer Cyclical,Textile Manufacturing
AMBER.NS,Consumer Durables,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
ANANTRAJ.NS,Realty,Real Estate,Real Estate - Development
ANGELONE.NS,NBFC,Financial Services,Capital Markets
ANURAS.NS,Chemicals,Basic Materials,Specialty Chemicals
ARE&M.NS,Capital Goods,Industrials,Electrical Equipment & Parts
ARVIND.NS,Textiles,Consumer Cyclical,Textile Manufacturing
ASAHIINDIA.NS,Auto,Consumer Cyclical,Auto Parts
ASTERDM.NS,Healthcare,Healthcare,Medical Care Facilities
ASTRAZEN.NS,Pharma,Healthcare,Drug Manufacturers - Specialty & Generic
AUBANK.NS,Banking,Financial Services,Banks - Regional
AVAS.NS,General,Unknown,Unknown
AWL.NS,FMCG,Consumer Defensive,Packaged Foods
AZAD.NS,Capital Goods,Industrials,Specialty Industrial Machinery
BAJAJELEC.NS,Consumer Durables,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
BALAMINES.NS,Chemicals,Basic Materials,Specialty Chemicals
BALRAMCHIN.NS,General,Consumer Defensive,Confectioners
BANSALWIRE.NS,Metals,Basic Materials,Steel
BCG.NS,Media,Communication Services,Advertising Agencies
BEML.NS,General,Industrials,Conglomerates
BIKAJI.NS,FMCG,Consumer Defensive,Packaged Foods
BIRLACORPN.NS,General,Basic Materials,Building Materials
BLS.NS,Services,Industrials,Specialty Business Services
BLUEJET.NS,Pharma,Healthcare,Biotechnology
BORORENEW.NS,IT,Technology,Solar
BRIGADE.NS,Realty,Real Estate,Real Estate - Development
BSOFT.NS,IT,Technology,Information Technology Services
CAMS.NS,IT,Technology,Information Technology Services
CAMPUS.NS,Textiles,Consumer Cyclical,Footwear & Accessories
CASTROLIND.NS,Energy,Energy,Oil & Gas Refining & Marketing
CEATLTD.NS,Auto,Consumer Cyclical,Auto Parts
CENTRALBK.NS,Banking,Financial Services,Banks - Regional
CENTURYPLY.NS,General,Basic Materials,Lumber & Wood Production
CENTURYTEX.NS,General,Unknown,Unknown
CERA.NS,General,Industrials,Building Products & Equipment
CHALET.NS,Services,Consumer Cyclical,Lodging
CHENNPETRO.NS,Energy,Energy,Oil & Gas Refining & Marketing
CIEINDIA.NS,Auto,Consumer Cyclical,Auto Parts
CLEAN.NS,Chemicals,Basic Materials,Specialty Chemicals
COCHINSHIP.NS,Defense,Industrials,Aerospace & Defense
COSMOFIRST.NS,General,Consumer Cyclical,Packaging & Containers
CRAFTSMAN.NS,Auto,Consumer Cyclical,Auto Parts
DATA-PATTERNS.NS,General,Unknown,Unknown
DATAPATTNS.NS,Defense,Industrials,Aerospace & Defense
DBL.NS,Infra,Industrials,Engineering & Construction
DCMSHRIRAM.NS,General,Industrials,Conglomerates
DEEPAKFERT.NS,Chemicals,Basic Materials,Chemicals
